UID,category,editModifyDate,startDate,endDate,hitRate,time,locationName,onSale,latitude,longitude,endTime,YearType,Period
5b3dd544aaa378d7ca9a2e9a,6,2018/07/06 14:25:35,2021-12-07 00:00:00,2028-12-31 00:00:00,1757,2021/12/07 09:00:00,人類文化廳二樓,Y,24.157234,120.66606000000002,2028/12/31 17:00:00,Past,2581
5c7e1bcdaaa375d860933d3a,6,2019/03/06 17:19:54,2019-03-05 00:00:00,2024-03-05 00:00:00,1792,2019/03/05 09:00:00,國立自然科學博物館,Y,24.157255499999998,120.6661841,2024/03/05 17:00:00,Past,1827
5c9a1560d083a30290d1b36f,3,,2021-02-15 00:00:00,2021-12-15 00:00:00,1684,2021/02/15 09:00:00,宜蘭傳藝園區-展示館,N,24.685586999999998,121.824053,2021/12/15 09:00:00,Past,303
5cd25532aaa3f054c2cc6bad,19,2019/05/09 17:53:06,2021-12-11 00:00:00,2029-12-30 00:00:00,1934,2021/12/11 00:00:00,藍晒圖文創園區,Y,22.986726,120.196627,2029/12/30 00:00:00,Past,2941
5e05c90bd083a31bb0c56552,7,2021/09/01 09:23:03,2020-01-01 00:00:00,2022-01-01 00:00:00,11687,2020/01/01 00:00:00,全台灣、不限時間地點，均可觀看,Y,25.057251,121.54585700000001,2022/01/01 23:59:59,Past,731
5e086b80d083a37cd8cacfdc,6,2020/03/02 17:44:42,2020-01-05 00:00:00,2021-12-31 00:00:00,35034,2020/01/05 00:00:00,花蓮縣石雕博物館二樓常設展區,Y,23.9899822,121.6287389,2021/12/31 00:00:00,Past,726
5e1627d6d083a37cd8cad3dd,6,,2021-01-01 00:00:00,2021-12-26 00:00:00,1417,2021/01/01 09:00:00,國立故宮博物院南部院區,Y,23.4704066,120.2913281,2021/12/26 17:00:00,Past,359
5e5ffbf8d083a329401eed57,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,744,2021/01/01 09:00:00,蘇澳鎮（宜蘭縣）=,N,,,2021/12/31 17:00:00,Past,364
5efb8db9d083a33abc1ac109,6,2021/04/01 12:26:02,2020-07-04 00:00:00,2023-06-25 00:00:00,871,2020/07/04 10:00:00,國立臺灣美術館,N,24.139665,120.665874,2023/06/25 18:00:00,Past,1086
5f1ef5fdaaa3fbc2f8ecc1b5,19,2020/07/28 17:42:59,2021-12-07 00:00:00,2025-12-31 00:00:00,1620,2021/12/07 09:00:00,築好玩藝,Y,22.972932999999998,120.22788909999998,2025/12/31 17:30:00,Past,1485
5f4d3061d083a389c4216d9e,4,,2020-08-01 00:00:00,2021-12-31 00:00:00,645,2020/08/01 00:00:00,宜蘭綺麗觀光工廠,Y,24.6353932,121.8428635,2021/12/31 00:00:00,Past,517
5f6a4c25d083a35edcf6b276,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,299,2021/01/01 12:00:00,國立臺灣美術館,N,,,2021/12/31 18:00:00,Past,364
5f906d3fd083a35edcf6bece,1,,2022-04-03 00:00:00,2022-04-03 00:00:00,131,2022/04/03 19:30:00,臺中國家歌劇院小劇場,Y,24.1626492,120.64030279999999,2022/04/03 21:05:00,Future,0
